iter	RMSE
0	14.18062634
1	13.39949189
2	12.57092867
3	11.7655538
4	11.06264735
5	10.48580543
6	9.951409071
7	9.482106331
8	9.052155052
9	8.617440353
10	8.242959442
11	7.938772573
12	7.684157508
13	7.413722597
14	7.193295465
15	6.972826152
16	6.778109054
17	6.613860137
18	6.467318044
19	6.342152994
20	6.230570509
21	6.137265255
22	6.040478717
23	5.96735285
24	5.890225249
25	5.818431479
26	5.74661031
27	5.685448365
28	5.634523844
29	5.58292373
30	5.532694342
31	5.494439784
32	5.454040534
33	5.420221229
34	5.385153387
35	5.35119737
36	5.326232308
37	5.287790448
38	5.264434095
39	5.238463089
40	5.215982392
41	5.203564179
42	5.178085832
43	5.170276352
44	5.150526624
45	5.132375252
46	5.111473066
47	5.095645624
48	5.083132967
49	5.06971931
50	5.054299395
51	5.039826058
52	5.020564766
53	5.006104327
54	4.983181095
55	4.967707657
56	4.957392554
57	4.945216582
58	4.928681973
59	4.91297704
60	4.894502997
61	4.87743115
62	4.860897238
63	4.847023442
64	4.832213365
65	4.823317904
66	4.814163823
67	4.805207687
68	4.797352971
69	4.78188061
70	4.772427164
71	4.763894075
72	4.755402299
73	4.743125821
74	4.730803715
75	4.720333864
76	4.71215841
77	4.700933366
78	4.679699204
79	4.666447136
80	4.657646207
81	4.645246373
82	4.628347336
83	4.619012655
84	4.614274969
85	4.59718529
86	4.583892127
87	4.579245404
88	4.567512937
89	4.556027997
90	4.54992013
91	4.546071445
92	4.53749482
93	4.529532145
94	4.525963838
95	4.510482061
96	4.502699206
97	4.491733337
98	4.490740012
99	4.476166003
