iter	Passed	Remaining
0	0	56
1	0	48
2	1	43
3	1	40
4	2	38
5	2	36
6	2	34
7	2	33
8	3	32
9	3	31
10	3	31
11	4	30
12	4	31
13	5	31
14	5	30
15	5	30
16	6	31
17	6	30
18	7	30
19	7	29
20	7	29
21	8	29
22	8	28
23	8	28
24	9	28
25	9	27
26	10	27
27	10	26
28	10	26
29	11	25
30	11	25
31	12	25
32	12	25
33	13	25
34	13	25
35	14	25
36	14	25
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	17	20
46	18	20
47	18	19
48	18	19
49	19	19
50	19	18
51	19	18
52	19	17
53	20	17
54	20	16
55	21	16
56	21	16
57	22	15
58	22	15
59	22	15
60	23	14
61	23	14
62	24	14
63	24	13
64	24	13
65	25	12
66	25	12
67	25	12
68	26	11
69	26	11
70	27	11
71	27	10
72	27	10
73	28	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	31	6
83	31	5
84	31	5
85	31	5
86	32	4
87	32	4
88	33	4
89	33	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	36	0
98	36	0
99	36	0
