iter	RMSE
0	14.77843405
1	14.40916842
2	14.05735814
3	13.72127697
4	13.39120913
5	13.10156069
6	12.82279098
7	12.58302905
8	12.35024421
9	12.06285967
10	11.79018756
11	11.52099901
12	11.24172512
13	10.99541637
14	10.79571501
15	10.59310607
16	10.39310745
17	10.20861276
18	9.99857651
19	9.787205479
20	9.622219616
21	9.44887596
22	9.289842089
23	9.105724145
24	8.957774592
25	8.812304345
26	8.660902596
27	8.519892578
28	8.37416145
29	8.261537216
30	8.125303882
31	8.014362759
32	7.895354673
33	7.786181451
34	7.693064709
35	7.605276101
36	7.511241098
37	7.421094853
38	7.325995234
39	7.249971856
40	7.17113173
41	7.098492323
42	7.02218148
43	6.949881348
44	6.883078134
45	6.827584768
46	6.753934508
47	6.689091596
48	6.631915065
49	6.5821038
50	6.525205161
51	6.47300095
52	6.43822175
53	6.387854977
54	6.338319148
55	6.295267132
56	6.251076479
57	6.207830796
58	6.174036925
59	6.137825564
60	6.100251125
61	6.064603254
62	6.026799863
63	5.996543191
64	5.967801155
65	5.938978564
66	5.912445397
67	5.87932211
68	5.857626532
69	5.832702957
70	5.803833194
71	5.774490497
72	5.749361142
73	5.726366168
74	5.700503925
75	5.673139165
76	5.648714983
77	5.624924989
78	5.603056057
79	5.582409899
80	5.562656116
81	5.545034877
82	5.526076005
83	5.508062251
84	5.488296532
85	5.474640522
86	5.461786191
87	5.446290155
88	5.432369661
89	5.41901971
90	5.40546735
91	5.391637972
92	5.383433504
93	5.369700176
94	5.358039585
95	5.346922293
96	5.335172354
97	5.322905723
98	5.311025176
99	5.302792076
100	5.294923898
101	5.281288719
102	5.273106105
103	5.265377132
104	5.252084113
105	5.242791144
106	5.235593684
107	5.22636064
108	5.220665261
109	5.211357882
110	5.205711934
111	5.193102608
112	5.180837144
113	5.174194577
114	5.167437927
115	5.16247236
116	5.154067644
117	5.146925077
118	5.139288514
119	5.132568395
120	5.12385831
121	5.115593756
122	5.110342514
123	5.10412512
124	5.100358881
125	5.095506355
126	5.086277716
127	5.082416449
128	5.074863362
129	5.069004016
130	5.064283067
131	5.058831676
132	5.052608259
133	5.046636714
134	5.041182478
135	5.03722442
136	5.032166108
137	5.024184604
138	5.019993895
139	5.015572147
140	5.009582574
141	5.006848381
142	5.000265058
143	4.995279639
144	4.992592839
145	4.986850268
146	4.982870108
147	4.978975091
148	4.974348505
149	4.968465378
150	4.959337986
151	4.954465752
152	4.950186505
153	4.943764403
154	4.939878415
155	4.932926897
156	4.925473812
157	4.917062686
158	4.911413564
159	4.904871089
160	4.90240567
161	4.897188207
162	4.891484598
163	4.887561822
164	4.885032402
165	4.881918813
166	4.880055864
167	4.875757086
168	4.867290589
169	4.864138267
170	4.861201016
171	4.857076546
172	4.851220542
173	4.846535732
174	4.843176346
175	4.841159178
176	4.836735106
177	4.831935371
178	4.827363858
179	4.821833428
180	4.817314587
181	4.814550805
182	4.810735505
183	4.805561076
184	4.80117733
185	4.796751021
186	4.79275255
187	4.785854565
188	4.781175644
189	4.777800711
190	4.772896176
191	4.767836273
192	4.759679637
193	4.755044612
194	4.750006072
195	4.747185717
196	4.739672503
197	4.735329108
198	4.732853131
199	4.727190161
200	4.722020574
201	4.718402541
202	4.713880004
203	4.709929268
204	4.707494287
205	4.703884697
206	4.697921533
207	4.692554155
208	4.688177355
209	4.685308652
210	4.678073866
211	4.671817545
212	4.668905672
213	4.667040487
214	4.661833417
215	4.6541708
216	4.650214309
217	4.64228006
218	4.639142209
219	4.63440625
220	4.629676612
221	4.621921062
222	4.617826849
223	4.613724003
224	4.610075771
225	4.601584524
226	4.59892867
227	4.596618524
228	4.594252201
229	4.5912496
230	4.58742401
231	4.584055442
232	4.577666091
233	4.575453184
234	4.569440426
235	4.565636168
236	4.561146803
237	4.558316421
238	4.555450802
239	4.549641825
240	4.543530817
241	4.541484595
242	4.537218472
243	4.529994115
244	4.52597124
245	4.525857499
246	4.523093578
247	4.517711446
248	4.51401247
249	4.512217702
250	4.509731196
251	4.506098906
252	4.501668392
253	4.498245519
254	4.497853157
255	4.494076115
256	4.488336341
257	4.487086974
258	4.48348169
259	4.47931748
260	4.477246765
261	4.472103177
262	4.468713502
263	4.464104419
264	4.459110617
265	4.45657272
266	4.449526874
267	4.446784705
268	4.441508808
269	4.436612042
270	4.431587686
271	4.427365972
272	4.422492334
273	4.417502017
274	4.409838601
275	4.405107183
276	4.400262791
277	4.399101907
278	4.397046789
279	4.391579612
280	4.390123508
281	4.385222801
282	4.380840495
283	4.374480103
284	4.37152627
285	4.365007248
286	4.360957656
287	4.354326452
288	4.354244721
289	4.352420798
290	4.349905629
291	4.347797655
292	4.345050953
293	4.342889185
294	4.336978471
295	4.334021218
296	4.329839645
297	4.327608617
298	4.321246549
299	4.316979171
300	4.314769503
301	4.312474562
302	4.306322438
303	4.303966591
304	4.301240667
305	4.299411821
306	4.295304524
307	4.28932785
308	4.2869092
309	4.285916121
310	4.282850734
311	4.280231042
312	4.278446599
313	4.274549325
314	4.270666483
315	4.268780191
316	4.263149413
317	4.260809001
318	4.260497831
319	4.258300009
320	4.256609479
321	4.251410926
322	4.246752134
323	4.243430974
324	4.239698316
325	4.234673006
326	4.229556489
327	4.225000545
328	4.219677784
329	4.217877355
330	4.212594829
331	4.210389078
332	4.209075888
333	4.206293398
334	4.201845978
335	4.201317661
336	4.19823314
337	4.193279446
338	4.189109233
339	4.189040511
340	4.184346597
341	4.181906451
342	4.181840217
343	4.179187074
344	4.177218556
345	4.175342403
346	4.175109437
347	4.169555773
348	4.165272034
349	4.160566117
350	4.154530722
351	4.150456895
352	4.146041548
353	4.141622102
354	4.141388789
355	4.137492223
356	4.13318363
357	4.13126566
358	4.126524537
359	4.122092023
360	4.119163232
361	4.113881133
362	4.110255533
363	4.110009402
364	4.109835961
365	4.104194568
366	4.101647196
367	4.097550647
368	4.097005493
369	4.092687486
370	4.090597734
371	4.085893891
372	4.081948132
373	4.079646442
374	4.078127046
375	4.077020749
376	4.076381894
377	4.075247173
378	4.071689322
379	4.067421436
380	4.061952767
381	4.057014152
382	4.056305608
383	4.051976903
384	4.046530568
385	4.044520227
386	4.040800892
387	4.037775062
388	4.034752046
389	4.031908086
390	4.030421198
391	4.02576987
392	4.022489196
393	4.020387637
394	4.019166183
395	4.017087782
396	4.013997106
397	4.011629214
398	4.010954343
399	4.007244164
400	4.003226502
401	4.001349374
402	3.997068962
403	3.993243339
404	3.991104075
405	3.989342383
406	3.984338145
407	3.984286602
408	3.983378339
409	3.980971667
410	3.979619174
411	3.978238769
412	3.972791642
413	3.972155334
414	3.9693692
415	3.966206253
416	3.962629499
417	3.959929883
418	3.957265974
419	3.954669567
420	3.954505766
421	3.953715868
422	3.950070278
423	3.946999535
424	3.94586999
425	3.941843007
426	3.936791394
427	3.934295245
428	3.931139611
429	3.929796242
430	3.924977681
431	3.921548574
432	3.917446742
433	3.912943935
434	3.909081062
435	3.907302075
436	3.903522554
437	3.89861435
438	3.894897654
439	3.893279668
440	3.888648737
441	3.888021224
442	3.886530901
443	3.883581593
444	3.88112058
445	3.880952808
446	3.880778219
447	3.877305516
448	3.874661294
449	3.873562205
450	3.868849396
451	3.866083746
452	3.863562893
453	3.859332777
454	3.859290664
455	3.858231272
456	3.857783619
457	3.855359819
458	3.854311246
459	3.853297932
460	3.852319576
461	3.849200566
462	3.847642747
463	3.845209244
464	3.843024139
465	3.837762322
466	3.836691717
467	3.835992912
468	3.834810792
469	3.830157906
470	3.824665917
471	3.823332825
472	3.820195533
473	3.819851568
474	3.815779676
475	3.812523136
476	3.808540913
477	3.805476892
478	3.802867019
479	3.802427179
480	3.799175903
481	3.798691528
482	3.7966056
483	3.793350542
484	3.790756746
485	3.788684424
486	3.787473446
487	3.783960217
488	3.782908728
489	3.781140542
490	3.776738827
491	3.774688859
492	3.77308351
493	3.769375273
494	3.768489618
495	3.764683038
496	3.761337252
497	3.758700231
498	3.754647094
