iter	Passed	Remaining
0	0	390
1	0	330
2	0	292
3	1	266
4	1	266
5	1	260
6	1	247
7	1	242
8	2	225
9	2	254
10	2	254
11	3	256
12	3	257
13	3	258
14	3	260
15	4	259
16	4	256
17	4	253
18	4	251
19	5	249
20	5	250
21	5	249
22	5	247
23	6	246
24	6	244
25	6	243
26	6	242
27	6	240
28	7	240
29	7	238
30	7	237
31	7	235
32	8	234
33	8	232
34	8	231
35	8	229
36	8	227
37	8	225
38	9	224
39	9	222
40	9	221
41	9	219
42	9	218
43	9	216
44	10	215
45	10	214
46	10	213
47	10	212
48	10	211
49	11	210
50	11	209
51	11	208
52	11	208
53	11	207
54	12	207
55	12	207
56	12	212
57	13	212
58	13	212
59	13	213
60	13	212
61	14	212
62	14	211
63	14	211
64	14	210
65	14	210
66	15	208
67	15	208
68	15	208
69	15	207
70	15	207
71	16	206
72	16	206
73	16	205
74	16	205
75	16	204
76	17	204
77	17	203
78	17	203
79	17	202
80	17	202
81	18	201
82	18	201
83	18	200
84	18	200
85	18	200
86	19	200
87	19	201
88	19	200
89	19	200
90	20	200
91	20	199
92	20	198
93	20	198
94	20	197
95	20	197
96	21	197
97	21	196
98	21	196
99	21	196
100	22	195
101	22	195
102	22	195
103	22	195
104	22	195
105	23	195
106	23	194
107	23	194
108	23	194
109	23	193
110	24	193
111	24	193
112	24	192
113	24	192
114	24	192
115	25	191
116	25	191
117	25	191
118	25	191
119	26	190
120	26	190
121	26	190
122	26	190
123	26	189
124	27	189
125	27	189
126	27	188
127	27	188
128	27	188
129	28	188
130	28	187
131	28	187
132	28	187
133	28	186
134	29	186
135	29	186
136	29	185
137	29	185
138	29	185
139	30	184
140	30	184
141	30	184
142	30	183
143	30	183
144	31	183
145	31	182
146	31	182
147	31	182
148	31	182
149	32	181
150	32	181
151	32	181
152	32	180
153	32	180
154	33	180
155	33	179
156	33	179
157	33	179
158	33	179
159	34	178
160	34	178
161	34	178
162	34	178
163	34	177
164	35	177
165	35	177
166	35	177
167	35	177
168	36	177
169	36	176
170	36	177
171	36	176
172	36	176
173	37	176
174	37	176
175	37	176
176	37	176
177	38	176
178	38	176
179	38	175
180	38	175
181	39	175
182	39	175
183	39	175
184	39	174
185	39	174
186	40	174
187	40	174
188	40	173
189	40	173
190	40	173
191	41	173
192	41	172
193	41	172
194	41	172
195	41	172
196	42	171
197	42	171
198	42	171
199	42	171
200	43	171
201	43	171
202	43	170
203	43	170
204	43	170
205	44	170
206	44	169
207	44	169
208	44	169
209	44	168
210	45	168
211	45	168
212	45	168
213	45	167
214	45	167
215	46	167
216	46	167
217	46	166
218	46	166
219	46	166
220	47	166
221	47	166
222	47	165
223	47	165
224	47	165
225	48	165
226	48	164
227	48	164
228	48	164
229	48	164
230	49	163
231	49	163
232	49	163
233	49	163
234	50	162
235	50	162
236	50	162
237	50	162
238	50	161
239	51	161
240	51	161
241	51	161
242	51	161
243	51	160
244	52	160
245	52	160
246	52	160
247	52	159
248	52	159
249	53	159
250	53	159
251	53	158
252	53	158
253	53	158
254	54	158
255	54	158
256	54	157
257	54	157
258	55	157
259	55	157
260	55	156
261	55	156
262	55	156
263	56	156
264	56	155
265	56	155
266	56	155
267	56	155
268	57	155
269	57	154
270	57	154
271	57	154
272	57	154
273	58	153
274	58	153
275	58	153
276	58	153
277	58	152
278	59	152
279	59	152
280	59	152
281	59	151
282	59	151
283	60	151
284	60	151
285	60	150
286	60	150
287	60	150
288	60	150
289	61	149
290	61	149
291	61	149
292	61	149
293	61	148
294	62	148
295	62	148
296	62	148
297	62	147
298	62	147
299	63	147
300	63	147
301	63	146
302	63	146
303	63	146
304	64	146
305	64	146
306	64	145
307	64	145
308	64	145
309	65	145
310	65	144
311	65	144
312	65	144
313	66	144
314	66	143
315	66	143
316	66	143
317	66	143
318	67	143
319	67	142
320	67	142
321	67	142
322	67	142
323	68	142
324	68	141
325	68	141
326	68	141
327	68	141
328	69	141
329	69	140
330	69	140
331	69	140
332	69	140
333	70	139
334	70	139
335	70	139
336	70	139
337	70	139
338	71	138
339	71	138
340	71	138
341	71	137
342	71	137
343	71	137
344	72	137
345	72	136
346	72	136
347	72	136
348	73	136
349	73	135
350	73	135
351	73	135
352	73	135
353	74	135
354	74	134
355	74	134
356	74	134
357	74	134
358	75	134
359	75	133
